
====================== ANALISI DEL GRAFO stanford ======================

numero di archi: 2312497	numero di vertici: 281903
	- Tasso di decrescita del numero di componenti biconnesse: -11.278%
	- Tasso di decrescita del numero di vertici di taglio: -11.177%

| LIV. CORENESS |			|# COMPONENTI CONNESSE|			|# BLOCCHI|			|# CUT-VERTEX|			|# NUOVI CV|			|# BLOCCHI 1 EDGE|

		1							365							29470						16337						0						12323
		2							364							23204						15764						3555						12196
		3							282							2943						1982						629						891
		4							288							1968						1270						354						648
		5							280							1480						849						252						429
		6							203							1181						693						185						359
		7							172							797						451						115						209
		8							155							471						246						91						77
		9							111							272						146						75						36
		10							113							244						121						37						32
		11							87							174						81						29						22
		12							94							163						64						18						18
		13							68							132						57						18						19
		14							65							126						56						14						14
		15							53							107						50						13						12
		16							52							110						50						12						16
		17							44							92						41						10						11
		18							41							93						46						13						14
		19							41							85						38						11						12
		20							41							86						37						7						12
		21							33							65						26						7						8
		22							37							66						23						6						8
		23							32							55						19						5						6
		24							33							52						17						2						6
		25							30							48						17						4						4
		26							29							46						16						1						4
		27							29							45						15						1						4
		28							29							45						15						1						4
		29							25							42						16						4						5
		30							26							40						12						1						4
		31							20							34						11						2						3
		32							20							32						10						3						2
		33							20							32						10						2						2
		34							19							31						11						3						2
		35							18							30						11						3						2
		36							16							27						10						3						2
		37							17							27						10						3						2
		38							16							26						10						2						2
		39							14							22						8						2						1
		40							14							19						5						3						0
		41							14							19						5						2						0
		42							14							18						4						2						0
		43							13							16						3						0						0
		44							13							16						3						0						0
		45							13							17						3						1						0
		46							13							17						3						1						0
		47							13							17						3						1						0
		48							13							17						3						1						0
		49							12							18						5						3						1
		50							14							17						3						1						1
		51							9							12						3						0						1
		52							9							11						2						0						1
		53							6							8						2						0						1
		54							4							6						2						0						1
		55							4							7						2						0						1
		56							4							7						2						0						1
		57							4							7						2						0						1
		58							4							7						2						0						1
		59							2							5						2						0						1
		60							2							6						2						0						1
		61							2							6						2						0						1
		62							2							6						2						0						1
		63							2							4						1						0						0
		64							2							4						1						0						0
		65							2							4						1						0						0
		66							2							5						2						1						1
		67							2							5						2						0						1
		68							2							5						2						0						1
		69							2							5						2						0						1
		70							2							5						2						0						1
		71							1							4						2						0						1
		72							1							4						2						0						1
		73							1							3						2						0						1
		74							1							3						2						0						1
		75							1							3						2						0						1
		76							1							3						2						0						1
		77							1							1						0						0						0
		78							1							1						0						0						0
		79							1							1						0						0						0
		80							1							1						0						0						0
		81							1							1						0						0						0
		82							1							1						0						0						0
		83							1							1						0						0						0
		84							1							1						0						0						0
		85							1							1						0						0						0
		86							1							1						0						0						0
